user_id,model,rank,movie_id,title,pred_rating
1333,SVD,1,872,Seven Samurai,4.108232168215212
1333,SVD,2,634,Christmas with The Simpsons,3.938891054006004
1333,SVD,3,907,Animal Crackers,3.8755505774073473
1333,SVD,4,825,Bill Cosby: Himself,3.870157845774203
1333,SVD,5,253,A Night at the Opera,3.8572107325680194
1333,SVD,6,694,When Dinosaurs Roamed America,3.8219296781441425
1333,SVD,7,316,Futurama: Monster Robot Maniac Fun Collection,3.8132435579724775
1333,SVD,8,359,Absolutely Fabulous: Series 5,3.812148745040834
1333,SVD,9,471,City Lights,3.8086173508331003
1333,SVD,10,479,George Carlin: What Am I Doing in New Jersey?,3.782104208180323
1333,Item-CF,1,183,IFilm: Deranged,3.031972885131836
1333,Item-CF,2,903,Hamlet,2.965820550918579
1333,Item-CF,3,559,Rebecca: Bonus Material,3.084174633026123
1333,Item-CF,4,707,The Return,3.05511474609375
1333,Item-CF,5,211,The Agronomist,3.0344550609588623
1333,Item-CF,6,793,By Brakhage: An Anthology,3.1046481132507324
1333,Item-CF,7,770,A Perfect Candidate,3.086066484451294
1333,Item-CF,8,895,Dersu Uzala,3.0410075187683105
1333,Item-CF,9,978,Yi Yi,3.043250560760498
1333,Item-CF,10,868,La Promesse,2.99756121635437
2213,SVD,1,886,Ray,4.70859572503208
2213,SVD,2,621,Armageddon,4.643953044051553
2213,SVD,3,406,Hostage,4.570600696977725
2213,SVD,4,764,Scarface: 20th Anniversary Edition: Bonus Material,4.51778680401527
2213,SVD,5,657,Highlander: Season 5,4.510459433920531
2213,SVD,6,575,Highlander: Season 4,4.494090998562577
2213,SVD,7,385,The Santa Clause 2,4.4760153731149455
2213,SVD,8,270,Sex and the City: Season 4,4.406070711418898
2213,SVD,9,476,VeggieTales Classics: Where's God When I'm Scared?,4.389999505280586
2213,SVD,10,752,Star Trek: The Next Generation: Season 7,4.357502490692807
2213,Item-CF,1,943,Dave Chappelle: For What It's Worth,4.2735724449157715
2213,Item-CF,2,183,IFilm: Deranged,4.201168537139893
2213,Item-CF,3,23,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,4.278510570526123
2213,Item-CF,4,476,VeggieTales Classics: Where's God When I'm Scared?,4.261415481567383
2213,Item-CF,5,385,The Santa Clause 2,4.231846332550049
2213,Item-CF,6,893,Blue's Clues: Classic Clues,4.284257411956787
2213,Item-CF,7,970,Yesterday Once More,4.224945068359375
2213,Item-CF,8,547,Kuffs,4.287349700927734
2213,Item-CF,9,255,The Hunchback of Notre Dame II,4.276451110839844
2213,Item-CF,10,706,Mobsters,4.280009746551514
3321,SVD,1,498,Glory: Bonus Material,3.716826181998016
3321,SVD,2,330,Wild Things,3.714027348932821
3321,SVD,3,486,Journey to the Center of the Earth,3.6837042645237346
3321,SVD,4,209,Star Trek: Deep Space Nine: Season 5,3.6523001417974332
3321,SVD,5,345,Star Trek: Voyager: Season 5,3.629160860258764
3321,SVD,6,385,The Santa Clause 2,3.62712812099603
3321,SVD,7,313,Pay It Forward,3.5763695292605298
3321,SVD,8,197,Taking Lives,3.566152117061402
3321,SVD,9,175,Reservoir Dogs,3.5428691471160088
3321,SVD,10,634,Christmas with The Simpsons,3.542647898799455
3321,Item-CF,1,887,Monster-in-Law: Bonus Material,3.512385606765747
3321,Item-CF,2,753,Mary Poppins: Bonus Material,3.2698497772216797
3321,Item-CF,3,943,Dave Chappelle: For What It's Worth,3.371157169342041
3321,Item-CF,4,345,Star Trek: Voyager: Season 5,3.8182485103607178
3321,Item-CF,5,223,Chappelle's Show: Season 1,3.776242733001709
3321,Item-CF,6,634,Christmas with The Simpsons,3.601543426513672
3321,Item-CF,7,994,Children of the Corn,3.718827486038208
3321,Item-CF,8,940,Hercules,3.666024684906006
3321,Item-CF,9,273,Taxi,3.700782299041748
3321,Item-CF,10,138,Star Trek: Voyager: Season 1,3.76108717918396
3458,SVD,1,996,Yojimbo,4.268443854690366
3458,SVD,2,722,The Wire: Season 1,4.188054617809098
3458,SVD,3,907,Animal Crackers,4.182100522671335
3458,SVD,4,227,The Carol Burnett Show: Show Stoppers,4.1594322144434805
3458,SVD,5,880,Sharpe 4: Sharpe's Enemy,4.1552550007304605
3458,SVD,6,825,Bill Cosby: Himself,4.148774763168659
3458,SVD,7,253,A Night at the Opera,4.1311210469990485
3458,SVD,8,342,Noir,4.122837608413356
3458,SVD,9,79,The Killing,4.1132327399470485
3458,SVD,10,918,A Hard Day's Night: Collector's Series,4.112298869226951
3458,Item-CF,1,183,IFilm: Deranged,3.9664602279663086
3458,Item-CF,2,98,The Battle of Algiers: Bonus Material,3.631061315536499
3458,Item-CF,3,901,Diary of a Country Priest,3.805048704147339
3458,Item-CF,4,802,Spies,3.704531192779541
3458,Item-CF,5,102,Notre Musique,3.705223321914673
3458,Item-CF,6,727,Carlton-Browne of the F.O.,3.657179594039917
3458,Item-CF,7,793,By Brakhage: An Anthology,3.677245855331421
3458,Item-CF,8,87,Louder Than Bombs,3.685725450515747
3458,Item-CF,9,968,Dottie Gets Spanked,3.657256841659546
3458,Item-CF,10,786,Tokyo Drifter,3.644326686859131
3998,SVD,1,32,ABC Primetime: Mel Gibson's The Passion of the Christ,5.0
3998,SVD,2,88,Record of Lodoss War: Chronicles of the Heroic Knight,5.0
3998,SVD,3,106,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,5.0
3998,SVD,4,152,A Little Princess,5.0
3998,SVD,5,171,Funny Face,5.0
3998,SVD,6,175,Reservoir Dogs,5.0
3998,SVD,7,199,The Deer Hunter,5.0
3998,SVD,8,223,Chappelle's Show: Season 1,5.0
3998,SVD,9,239,Winnie the Pooh: Springtime with Roo,5.0
3998,SVD,10,261,The Big Clock,5.0
3998,Item-CF,1,183,IFilm: Deranged,4.866526126861572
3998,Item-CF,2,164,One Last Dance,4.883355140686035
3998,Item-CF,3,874,Elvis Costello & the Imposters: Live in Memphis,4.849902153015137
3998,Item-CF,4,374,The Little Girl Who Lives Down the Lane,4.853471279144287
3998,Item-CF,5,778,A Touch of Frost: Seasons 7 & 8,4.868640899658203
3998,Item-CF,6,193,Marilyn Manson: Fear of a Satanic Planet,4.88944149017334
3998,Item-CF,7,614,Bad Boy Bubby,4.854725360870361
3998,Item-CF,8,618,Totally F***ed Up,4.8427414894104
3998,Item-CF,9,946,Sex and the Teenage Mind,4.84348726272583
3998,Item-CF,10,757,Sherlock Hound,4.8584489822387695
4597,SVD,1,825,Bill Cosby: Himself,4.203858506666357
4597,SVD,2,764,Scarface: 20th Anniversary Edition: Bonus Material,4.032021194530895
4597,SVD,3,253,A Night at the Opera,3.9828096378405884
4597,SVD,4,673,Fight Club: Bonus Material,3.9585070727041427
